callConid,clocal_name,clocal_class,call_close_prc,strike,multiplier,put_close_prc,plocal_class,plocal_name,putConid,expiration
564503957,SPXW  220622C04060000,SPXW,0.0000,4060.0,100,300.11,SPXW,SPXW  220622P04060000,564503986,
564813580,SPXW  220622C04065000,SPXW,0.0000,4065.0,100,305.11,SPXW,SPXW  220622P04065000,564813794,
564503962,SPXW  220622C04070000,SPXW,0.0000,4070.0,100,310.11,SPXW,SPXW  220622P04070000,564503991,
564046687,SPXW  220622C04075000,SPXW,0.0000,4075.0,100,315.11,SPXW,SPXW  220622P04075000,564047096,
564503967,SPXW  220622C04080000,SPXW,0.0000,4080.0,100,320.11,SPXW,SPXW  220622P04080000,564503992,
564813592,SPXW  220622C04085000,SPXW,0.0000,4085.0,100,325.11,SPXW,SPXW  220622P04085000,564813799,
564503971,SPXW  220622C04090000,SPXW,0.0000,4090.0,100,330.11,SPXW,SPXW  220622P04090000,564503997,
564813604,SPXW  220622C04095000,SPXW,0.0000,4095.0,100,335.11,SPXW,SPXW  220622P04095000,564813814,
564046691,SPXW  220622C04100000,SPXW,0.0000,4100.0,100,340.11,SPXW,SPXW  220622P04100000,564047107,
564813626,SPXW  220622C04105000,SPXW,0.0000,4105.0,100,345.11,SPXW,SPXW  220622P04105000,564813824,
564813634,SPXW  220622C04110000,SPXW,0.0000,4110.0,100,350.11,SPXW,SPXW  220622P04110000,564813834,
564813654,SPXW  220622C04115000,SPXW,0.0000,4115.0,100,355.11,SPXW,SPXW  220622P04115000,564813851,
564813669,SPXW  220622C04120000,SPXW,0.0000,4120.0,100,360.11,SPXW,SPXW  220622P04120000,564813863,
564503974,SPXW  220622C04125000,SPXW,0.0000,4125.0,100,365.11,SPXW,SPXW  220622P04125000,564504000,
564813674,SPXW  220622C04130000,SPXW,0.0000,4130.0,100,370.11,SPXW,SPXW  220622P04130000,564813875,
564813694,SPXW  220622C04135000,SPXW,0.0000,4135.0,100,375.11,SPXW,SPXW  220622P04135000,564813889,
564813710,SPXW  220622C04140000,SPXW,0.0000,4140.0,100,380.11,SPXW,SPXW  220622P04140000,564813902,
564970538,SPXW  220622C04145000,SPXW,0.0000,4145.0,100,385.11,SPXW,SPXW  220622P04145000,564970781,
564046697,SPXW  220622C04150000,SPXW,0.0000,4150.0,100,390.11,SPXW,SPXW  220622P04150000,564047128,
564970548,SPXW  220622C04155000,SPXW,0.0000,4155.0,100,395.11,SPXW,SPXW  220622P04155000,564970800,
564813727,SPXW  220622C04160000,SPXW,0.0000,4160.0,100,400.11,SPXW,SPXW  220622P04160000,564813919,
564970563,SPXW  220622C04165000,SPXW,0.0000,4165.0,100,405.11,SPXW,SPXW  220622P04165000,564970823,
564813737,SPXW  220622C04170000,SPXW,0.0000,4170.0,100,410.11,SPXW,SPXW  220622P04170000,564813929,
564813752,SPXW  220622C04175000,SPXW,0.0000,4175.0,100,415.11,SPXW,SPXW  220622P04175000,564813938,
564970578,SPXW  220622C04180000,SPXW,0.0000,4180.0,100,420.11,SPXW,SPXW  220622P04180000,564970841,
